| Movie_Id | Movie_Name                                                             | Movie_type | Release_Date | Rateing | Reviews | Movie_Runtime | Movie_Genre          | Movie_Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Metacritic        | Movie_Image                                                                                                                              | Movie_url                                            |
| 10       | Argylle                                                                | PG-13      | 2024         | 5.6     | 91K     | 2h 19m        | ['action', 'comedy'] | A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 35 Metascore      | https://m.media-amazon.com/images/M/MV5BNDkzMTU2OWUtZjA2ZS00ZmYxLWE2MzgtZDlhZDc1YjM4Yjk5XkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg   | https://www.imdb.com/title/tt15009428/?ref_=sr_i_10  |
| 11       | The Union                                                              | PG-13      | 2024         | 5.4     | 52K     | 1h 47m        | ['action', 'comedy'] | Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 44 Metascore      | https://m.media-amazon.com/images/M/MV5BY2I0YmNiNmEtNWI2My00NDU5LWIwZWItNWNkNjFmYWJjNTMxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt12610390/?ref_=sr_i_11  |
| 12       | Freaky Tales                                                           | R          | 2024         | 6.4     | 363     | 1h 46m        | ['action', 'comedy'] | Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 58 Metascore      | https://m.media-amazon.com/images/M/MV5BOTYyNmYyN2EtYTFjNS00ZWY5LWJiZmMtNTk5N2MyYzkzMDhmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt21942598/?ref_=sr_i_12  |
| 13       | The Killer's Game                                                      | R          | 2024         | 5.7     | 16K     | 1h 44m        | ['action', 'comedy'] | When a hitman is diagnosed with a terminal illness, he decides to take a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 36 Metascore      | https://m.media-amazon.com/images/M/MV5BODg4MTBiOGQtN2I5Yi00MWY2LWI1ODktZTUzZjhlYmZjMjFkXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt0327785/?ref_=sr_i_13   |
| 14       | Drive-Away Dolls                                                       | R          | 2024         | 5.4     | 23K     | 1h 24m        | ['action', 'comedy'] | Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 56 Metascore      | https://m.media-amazon.com/images/M/MV5BNDFmNzc4OGItNWRiZS00Mzc0LWE4MjgtNjMzZTEzN2ZjNWY5XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt19356262/?ref_=sr_i_14  |
| 15       | Kung Fu Panda 4                                                        | PG         | 2024         | 6.3     | 66K     | 1h 34m        | ['action', 'comedy'] | After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 54 Metascore      | https://m.media-amazon.com/images/M/MV5BMzJlNGYxYzQtOTg4MC00OTMyLTkwYzMtZDRlNTgwY2YwOWYxXkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg   | https://www.imdb.com/title/tt21692408/?ref_=sr_i_15  |
| 16       | Lift                                                                   | PG-13      | 2024         | 5.5     | 49K     | 1h 47m        | ['action', 'comedy'] | Follows a master thief and his Interpol Agent ex-girlfriend who team up to steal $500 million in gold bullion being transported on an A380 passenger flight.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 40 Metascore      | https://m.media-amazon.com/images/M/MV5BOWRkYmNiNDUtYTY0OC00YTZlLTlmMTYtMTJhMTU4OTBkMDY5XkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt14371878/?ref_=sr_i_16  |
| 17       | Beverly Hills Cop: Axel F                                              | R          | 2024         | 6.4     | 80K     | 1h 58m        | ['action', 'comedy'] | Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 53 Metascore      | https://m.media-amazon.com/images/M/MV5BMDVhYWNkNTUtZWVjMC00Y2M1LWEzNmItZjFiMzA4ZjNiODI4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt3083016/?ref_=sr_i_17   |
| 18       | The Instigators                                                        | R          | 2024         | 6.2     | 37K     | 1h 41m        | ['action', 'comedy'] | Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 48 Metascore      | https://m.media-amazon.com/images/M/MV5BYTExNzBhOTAtOGIyYy00MzY5LWFjOWYtZDE2NDE0ZmI3Y2Q3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt24169886/?ref_=sr_i_18  |
| 19       | Brothers                                                               | R          | 2024         | 5.4     | 13K     | 1h 29m        | ['action', 'comedy'] | Two criminal twin brothers, one who is trying to reform, embark on a dangerous heist road trip. Facing legal troubles, gunfights, and family drama, they must reconcile their differences before their mission leads to self-destruction.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 50 Metascore      | https://m.media-amazon.com/images/M/MV5BYWJhMmQ3YzEtMGQyMS00ODI3LWFmYjgtOWNhZDkzMjk5MzFjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt9860566/?ref_=sr_i_19   |
| 20       | Hitpig                                                                 | PG         | 2024         | 5.1     | 825     | 1h 26m        | ['action', 'comedy'] | A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYjdlYTJjNWEtYjdkOS00ODUzLWEwMGItYjY3OWNkNWM2ZDc1XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg   | https://www.imdb.com/title/tt13176330/?ref_=sr_i_20  |
| 21       | Jackpot!                                                               | R          | 2024         | 5.8     | 30K     | 1h 46m        | ['action', 'comedy'] | In the near future, a 'Grand Lottery' has been newly established in California - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 41 Metascore      | https://m.media-amazon.com/images/M/MV5BMmQ2ZGU3ODYtNzA0Yi00NDlhLWIxNzYtM2E2Y2FhOGNjZjIyXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt26940324/?ref_=sr_i_21  |
| 22       | Megamind vs The Doom Syndicate                                         | TV-G       | 2024         | 2.5     | 5.4K    | 1h 23m        | ['action', 'comedy'] | Megamind's former villain team, The Doom Syndicate, has returned. Newly crowned hero Megamind's must now keep up evil appearances until he can assemble his friends to stop his former evil teammates from launching Metro City to the Moon.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNmMyNDM3ZjYtN2JhMy00YmZlLWIxMDYtOTMxOTQ1YzkyODFiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt31122323/?ref_=sr_i_22  |
| 23       | Aavesham                                                               | No Data    | 2024         | 7.8     | 27K     | 2h 35m        | ['action', 'comedy'] | Three teenagers reach Bangalore for their engineering degree and gets involved in a fight with seniors. They find a local gangster named Ranga to help them take revenge.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNjJjY2IxMDYtN2U0My00MzFiLWJlYzItYmJkMDg1MTg3MjhmXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt26660021/?ref_=sr_i_23  |
| 24       | Panda Plan                                                             | No Data    | 2024         | 5.1     | 1.1K    | 1h 39m        | ['action', 'comedy'] | International action superstar Jackie Chan is involved in a rescue operation of a beloved zoo panda named Hu Hu.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYmY0N2Y5MDAtYmI0OS00ZTEwLTlkNDEtODA2ZjQ5OWRmMzE5XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt28630624/?ref_=sr_i_24  |
| 25       | Role Play                                                              | R          | 2024         | 5.5     | 19K     | 1h 40m        | ['action', 'comedy'] | Emma has a wonderful husband and two kids in the suburbs of New Jersey. She also has a secret life as an assassin for hire, a secret that her husband Dave discovers when the couple decide to spice up their marriage with a little role play.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 38 Metascore      | https://m.media-amazon.com/images/M/MV5BYmEwNzllZTEtZmY4Yy00OTYxLWJhZmEtMGQzYzJjZDM1OGM4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt12964320/?ref_=sr_i_25  |
| 26       | Trouble                                                                | TV-MA      | 2024         | 6.2     | 6.6K    | 1h 38m        | ['action', 'comedy'] | Conny, a divorced salesman, gets wrongfully imprisoned for murder. There, he meets criminals who mistake him for a pilot like his ex-wife's new boyfriend. Chaos ensues as he navigates life behind bars while separated from his daughter.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | No Data Metascore | https://m.media-amazon.com/images/M/MV5BOTMwZmFkZjctOGJhMi00ZmQyLTk4ODAtYTM0OTFlNjkyZTVlXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg   | https://www.imdb.com/title/tt30217143/?ref_=sr_i_26  |
| 27       | My Spy: The Eternal City                                               | PG-13      | 2024         | 5.7     | 11K     | 1h 52m        | ['action', 'comedy'] | JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear scheme threatening Vatican City, which disrupts a high school choir trip to Italy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 36 Metascore      | https://m.media-amazon.com/images/M/MV5BMjVhMTBlN2QtMWJmOS00OTliLWEwZTUtZjI3NWM2NjdmZjI3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt12930350/?ref_=sr_i_27  |
| 28       | The Thundermans Return                                                 | TV-G       | 2024         | 5.0     | 1.8K    | 1h 10m        | ['action', 'comedy'] | It centers on the family as they begin a new era of superhero crimefighting. When one save goes wrong, the Thundermans are sent back to Hiddenville.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNzg2ZTgxMzUtZDUzNy00M2Y0LWE2NzItZjdmNzE5NmZlY2NlXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt26943420/?ref_=sr_i_28  |
| 29       | Simarik                                                                | No Data    | 2024         | 6.4     | 2.3K    | 1h 51m        | ['action', 'comedy'] | This is the story of Mete, the spoiled son of a wealthy businessman whose father makes him believe he has reincarnated as a servant in a 16th-century Ottoman city.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMjlkMzVhMjctMTI3Zi00ZTBlLTkwN2UtMjIzM2I0OTFhMzBhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt31989784/?ref_=sr_i_29  |
| 30       | Rats!                                                                  | Unrated    | 2024         | 8.0     | 77      | 1h 25m        | ['action', 'comedy'] | In Fresno, Texas, graffiti artist Raphael's arrest leads to his involvement in a chain of events involving a sting operation, suicide, drug deals, criminal suspicions, weapons, a newswoman, and a plutonium deal gone wrong, creating chaos.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYzNlYjZmYzAtMWE5OC00ZDE4LWIxNDQtMWEyZGJkZjRkMzFhXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt29426703/?ref_=sr_i_30  |
| 31       | Cells at Work!                                                         | No Data    | 2024         | 6.8     | 164     | 1h 49m        | ['action', 'comedy'] | Each and every body is a legion of cells, all performing their function to keep their owner operating.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | No Data Metascore | https://m.media-amazon.com/images/M/MV5BOTYzOTkwZjEtOWYxMC00NWM5LWIxOWQtYThjMTJhNmZhYTk2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt27192829/?ref_=sr_i_31  |
| 32       | Officer Black Belt                                                     | TV-MA      | 2024         | 6.8     | 7.9K    | 1h 48m        | ['action', 'comedy'] | A talented martial artist who can't walk past a person in need unites with a probation officer to fight and prevent crime as a martial arts officer.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNWRkMTAzOGYtOTE4Ny00Yzg3LWExYzAtNDVhNjJjYmIwMTRkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt28494829/?ref_=sr_i_32  |
| 33       | The Tiger's Apprentice                                                 | PG         | 2024         | 5.8     | 2.1K    | 1h 24m        | ['action', 'comedy'] | Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 55 Metascore      | https://m.media-amazon.com/images/M/MV5BNTljMWNkOTgtYjFlMC00NzcxLWFhMTktMDhmZWIxMjBhNWJmXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg   | https://www.imdb.com/title/tt5834410/?ref_=sr_i_33   |
| 34       | Arena Wars                                                             | No Data    | 2024         | 5.0     | 2K      | 1h 36m        | ['action', 'comedy'] | In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNGE3ZjBjZWQtYjI1NS00YjBjLTkzMmMtNzFlODQ3NTliMTU1XkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt14132588/?ref_=sr_i_34  |
| 35       | City Hunter                                                            | TV-MA      | 2024         | 6.3     | 5.5K    | 1h 42m        | ['action', 'comedy'] | An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNzI5ZWZjN2UtNjRiNS00MzViLTgzNjMtZWEyZTlmNWJhYjJkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt24478470/?ref_=sr_i_35  |
