| Movie_Id | Movie_Name                                                             | Movie_type | Release_Date | Rateing | Reviews | Movie_Runtime | Movie_Genre          | Movie_Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Metacritic        | Movie_Image                                                                                                                              | Movie_url                                            |
| 48       | Nice Girls                                                             | TV-MA      | 2024         | 4.2     | 1.2K    | 1h 32m        | ['action', 'comedy'] | When Léo's brother Ludo is killed in Hamburg, despite orders she partners with German cop Mélanie to investigate. Unbeknownst to them, Nice faces a threat and they share an unknown connection.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMjRjODJlNzMtMDE3MS00NzNmLWI0OTQtMWE1NTNhNzkyYTFjXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt29288566/?ref_=sr_i_48  |
| 49       | Don't Mess with Grandma                                                | No Data    | 2024         | 6.1     | 143     | 1h 21m        | ['action', 'comedy'] | A drunk Army ranger must fight off the vicious robbers who plan to loot the cabin belonging to his sweet, oblivious grandmother.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZWUwMzQyN2MtMDA4Zi00ZjhjLWJjYzMtNDc0YzQ0MjRjMWM1XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg   | https://www.imdb.com/title/tt27786496/?ref_=sr_i_49  |
| 50       | Everybody Loves Jenifa                                                 | No Data    | 2024         | 8.4     | 77      | 2h 15m        | ['action', 'comedy'] | Jenifa's popularity fades when a shady new neighbor, Lobster, outshines her charity work. In Ghana, Jenifa and friends face a deadly drug baron after a bag of drugs is mistakenly left in their rental.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYjRlMmM0MTQtNzViOS00Y2U5LWE0MWMtMzM0ZmU5ZDEyZTcwXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt34573436/?ref_=sr_i_50  |
| 51       | ARM                                                                    | No Data    | 2024         | 7.1     | 8.5K    | 2h 30m        | ['action', 'comedy'] | Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | No Data Metascore | https://m.media-amazon.com/images/M/MV5BOTdiZjI3OGYtZTk1YS00Mjk5LTlmYzktODQ4NDQyM2JjNmI3XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg   | https://www.imdb.com/title/tt11531182/?ref_=sr_i_51  |
| 52       | Memes & Nightmares                                                     | TV-MA      | 2024         | 5.8     | 73      | 1h 21m        | ['action', 'comedy'] | NBA Twitter king's quest unravels the fleeting nature of online content and human bonds in the digital era, shaping our ephemeral connections.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMGYzYjVlMDctZmRiNi00ZmM5LWEyOWItZmY2OWU2N2RhNzU4XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt32147189/?ref_=sr_i_52  |
| 53       | Mission: Cross                                                         | TV-MA      | 2024         | 6.1     | 2.5K    | 1h 45m        | ['action', 'comedy'] | In the ultimate test of marriage, an agent-turned-househusband gets tangled in a perilous mission with his detective wife, who's clueless about his past.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYmJmZTMwNTUtY2MxNy00YjQzLTk1YWYtZTE5ZmE0Y2ViODk4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt30515931/?ref_=sr_i_53  |
| 54       | Alien Country                                                          | No Data    | 2024         | 4.4     | 349     | 1h 36m        | ['action', 'comedy'] | Reeling from the news of an unexpected pregnancy, Jimmy and Everly unknowingly release an alien invasion in their small town and learn to work together in order to save each other, their town and evidently, the entire galaxy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZTA1NGRjZTEtN2Y1Ny00Y2IzLWIxZmMtNzkxMjFhMzQ4MWUzXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt13015408/?ref_=sr_i_54  |
| 55       | Yolo                                                                   | PG-13      | 2024         | 6.9     | 3.6K    | 2h 9m         | ['action', 'comedy'] | After an argument with her younger sister, Le Ying moves out on her own. She meets a boxing trainer and starts boxing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | No Data Metascore | https://m.media-amazon.com/images/M/MV5BOTA3MTVkZGYtYzFlMi00MjAzLWI2MmQtZjUxYWUzNGU2ZjE3XkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg   | https://www.imdb.com/title/tt28151876/?ref_=sr_i_55  |
| 56       | Baby Assassins: Nice Days                                              | No Data    | 2024         | 7.3     | 267     | 1h 43m        | ['action', 'comedy'] | Teenage assassins Chisato and Mahiro visit the coastal city of Miyazaki when they unexpectedly cross paths with a bloodthirsty assassin who's looking to add to his personal body count.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNTBmN2Q5ZDItMGQ3My00ZjE5LWI0MDctY2RmZTZiM2FiOTE0XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg   | https://www.imdb.com/title/tt32382919/?ref_=sr_i_56  |
| 57       | Rob N Roll                                                             | No Data    | 2024         | 6.1     | 1.4K    | 1h 38m        | ['action', 'comedy'] | Decadent Murong Hui teams up with violent bandits after a botched robbery. A female detective pursues them as they scheme to steal a bag of money, leading to chaotic events due to betrayals and twists under the "I rob, you rob me" code.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BODVmZTUwMTctNjQ0My00NzgwLThiMGUtMTZkOWRjNGY4ZDNiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt30958950/?ref_=sr_i_57  |
| 58       | Citizen of a Kind                                                      | No Data    | 2024         | 6.7     | 769     | 1h 54m        | ['action', 'comedy'] | After a fire destroys her laundromat, a single mother is tricked by a voice phishing scheme. She decides to investigate the criminals behind it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNGJmYmRkMjAtZjhiNi00NWUyLTk5OTctOWIwZTYzODY3NzIwXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt30364726/?ref_=sr_i_58  |
| 59       | Bonus Trip                                                             | No Data    | 2024         | 4.5     | 217     | 1h 53m        | ['action', 'comedy'] | Two FBI agents defy orders while investigating a case. They team up with a translator to rescue her father and expose a global conspiracy. Along the way, they face humorous situations, unexpected twists, and life-threatening dangers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMWRlMGNhN2MtZGY2Zi00ZTE2LWJmMmItYTM0MzgxYzc0OTg4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt30320010/?ref_=sr_i_59  |
| 60       | Deaner '89                                                             | No Data    | 2024         | 5.9     | 413     | 1h 30m        | ['action', 'comedy'] | A hilarious headbanger finally makes it after struggling for decades, revealing it was all because of a childhood incident when the dark forces of heavy metal reached out from the grave.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | No Data Metascore | https://m.media-amazon.com/images/M/MV5BOGMxMmFjMGMtMDYyNS00M2U0LWE4N2EtMjU3ZmFjY2ExMTNjXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg   | https://www.imdb.com/title/tt23149654/?ref_=sr_i_60  |
| 61       | The Actor                                                              | TV-MA      | 2024         | 3.3     | 722     | 2h 8m         | ['action', 'comedy'] | An actor battling his own moral standards witnesses a neighbor's murder and stumbles upon a load of cash the victim was hiding. He keeps the money, and in doing so, begins the performance of a lifetime to hide who he really is.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNTk1NDY4ZjYtZTBkZS00MjQzLThmOWItNGIwNjJjYjdhODMzXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt4847946/?ref_=sr_i_61   |
| 62       | Tillu Square                                                           | No Data    | 2024         | 6.6     | 3.4K    | 2h 17m        | ['action', 'comedy'] | One year after a love affair entangled him in a murder case, a hapless DJ has a one-night stand that leads to even messier kerfuffles tied to his past.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNTYyZGUyMzktMzhmMi00MjRjLThlMjUtZmRjMjdmNzQ2OWQ5XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg   | https://www.imdb.com/title/tt22987820/?ref_=sr_i_62  |
| 63       | Timuchin                                                               | No Data    | 2024         | 6.2     | 16      | No Data       | ['action', 'comedy'] | A young and ambitious guy from the village comes to the city to fulfill his dream and enter the Academy of the Ministry of Internal Affairs. His desire to become a policeman is known to everyone around him. However, in the area where his uncle lives, there is a criminal group that controls ruthless gangs, and when he enters the academy, he meets his love. Now he has to not only prepare for exams, but also enter into a confrontation with bandits in order to protect his loved ones and his future.                                                                                                                                                                                                                                                                                                                                           | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYmQyODBmNTgtMmQ4Ni00Yzg2LWJjMmQtZDdhMTViZWMwYjg5XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt30877238/?ref_=sr_i_63  |
| 64       | Non Negotiable                                                         | No Data    | 2024         | 5.4     | 1.2K    | 1h 27m        | ['action', 'comedy'] | Alan Binder is a skillful hostage negotiator, the best in Mexico, who will soon face the most crucial case of his career when the President and his lover are kidnapped. The kidnapper demands to negotiate only with him.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNGM1ZjY5MGQtMGNmNy00ZjVmLTkyNTYtMTQwOGEyMTU4NzgxXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt31227221/?ref_=sr_i_64  |
| 65       | My Redneck Neighbor: Chapter 2 - Let the Games Begin                   | No Data    | 2024         | No Data | No Data | 55m           | ['action', 'comedy'] | Crazy Asians and Redneck clans escalate their Pranks to a point of no return when Cat tries to boil Reddick's Pet Gerbil, in retaliation, the Reddicks roast Cat's chicken for lunch, lead to an all out War,Winner takes all Redneck Games                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZDcwYzFjYzQtYzQyYi00MWE0LWE0MWItMjE5NTI0NjgwMWVhXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg   | https://www.imdb.com/title/tt12707364/?ref_=sr_i_65  |
| 66       | Bidurbhai                                                              | No Data    | 2024         | 9.2     | 375     | 2h 28m        | ['action', 'comedy'] | Four friends from impoverished backgrounds scheme risky plan for quick money, initially enjoy lavish lifestyle but face moral dilemmas and harsh repercussions as consequences of their actions unfold.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BOGM0ZDE2MjAtMTgxNi00ZWFhLWJhMDEtMmMzNWI0MDk3ZDE1XkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg   | https://www.imdb.com/title/tt32904232/?ref_=sr_i_66  |
| 67       | Troubleshooters                                                        | No Data    | 2024         | 6.4     | 400     | 1h 50m        | ['action', 'comedy'] | Two friends from Tirana attempt to solve a murder mystery at a Durrës resort while masquerading as wealthy men, encountering love interests, criminals, and self-doubt along the way as they navigate their first case as private detectives.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMjc0ZDI3ZjQtMzA5OS00YmM2LWE2YmEtOTU0OGU5YjRjMTkyXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg   | https://www.imdb.com/title/tt30661504/?ref_=sr_i_67  |
| 68       | Xiong Shi Shao Nian 2                                                  | No Data    | 2024         | 7.5     | 184     | 2h 14m        | ['action', 'comedy'] | A Juan, an unknown person who came to Shanghai to work, agreed to participate in the "Shanghai Fight Night" martial arts competition on behalf of the declining Chuanwu Boxing Gym in order to make money to treat his father's illness.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMDU4NjE0NmEtZjVkMi00N2IwLTliY2EtM2JmNjhjYTg3MjRkXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg   | https://www.imdb.com/title/tt32439604/?ref_=sr_i_68  |
| 69       | No Time to Spy: A Loud House Movie                                     | TV-Y7      | 2024         | 6.4     | 433     | 1h 21m        | ['action', 'comedy'] | Lincoln and the Louds are ecstatic to welcome their new Gran-Gran, Myrtle, into the family with a tropical wedding celebration, but the festivities are cut short when an old nemesis from Myrtle's secret agent past appears on the island.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYzFkMmZlOTQtZmMwNS00NWNiLWI2Y2YtZDQ3MTBiYWYwYTQ2XkEyXkFqcGc@._V1_QL75_UY207_CR14,0,140,207_.jpg  | https://www.imdb.com/title/tt32223312/?ref_=sr_i_69  |
| 70       | Guy Manley: Super Spy                                                  | No Data    | 2024         | 4.5     | 115     | 1h 32m        | ['action', 'comedy'] | Ex-spy Guy Manley is assigned one last mission by his former boss Buck Cash. The mission is to kill Buck's brother Rich Cash to prevent him from being elected as the new mayor, and thereby becoming the most powerful person in the world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BOGU3ZmZjMGUtMDI5YS00N2M0LWFlNDMtYjMwZjNmM2FhMmUxXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt29005580/?ref_=sr_i_70  |
| 71       | Thundu                                                                 | No Data    | 2024         | 5.0     | 900     | 2h 5m         | ['action', 'comedy'] | A constable aiming for a promotion unexpectedly encounters many problems. Facing the issues with humor and compassion, he works to overcome them.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYzU0ZmRkOGItNmNkZS00MmM3LTlkZjEtOTAwNWQ1ODUwMWM4XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt28253200/?ref_=sr_i_71  |
| 72       | My Fathers' Daughter                                                   | No Data    | 2024         | 6.6     | 71      | 1h 18m        | ['action', 'comedy'] | Set in Norway's northern reaches, the story centers on Elvira, a Sami teen. Convinced her mother conceived at a Danish clinic, her life shifts when her true father emerges, forever altering her world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMGE1Njk1MDItNmY4MC00MWZmLWEyNjktMTI4MzRmZWQ4N2FiXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt28802436/?ref_=sr_i_72  |
| 73       | The Drunken Prodigy                                                    | No Data    | 2024         | 5.6     | 13      | 1h 47m        | ['action', 'comedy'] | Lin Yao has loved practicing martial arts since he was a child and thought he was very powerful. After experiencing deception and betrayal, he recognized who he was, regained confidence, practiced drunken boxing, and became a true hero.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYWU2NWI2ZjItY2VhOS00NDIyLTkxMzgtMTA3ODc0NzFlMDAzXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg   | https://www.imdb.com/title/tt33062909/?ref_=sr_i_73  |
| 74       | Love You to Debt                                                       | No Data    | 2024         | 6.2     | 747     | 2h 15m        | ['action', 'comedy'] | Follows Bo, a debt collector who starts to rethink everything after collecting a debt from a beautiful girl.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMGM5NzFiM2QtYzE1Ni00ODAxLTgzMzUtZWQyZTcxMTgwMGZhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt24744192/?ref_=sr_i_74  |
| 75       | Clone Cops                                                             | No Data    | 2024         | 8.1     | 185     | 1h 36m        | ['action', 'comedy'] | A gang of outlaws defend their hideout until they discover a shocking secret about who they are and what they're up against. Now it's a race against time as they look for a way to escape certain doom at the hands of the Clone Cops.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNGM1MDRhZTgtMjIwMi00MWE5LTk3YmItNDIwNjc3N2MyODQ0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt21615474/?ref_=sr_i_75  |
| 76       | Anunnakiler                                                            | No Data    | 2024         | 2.6     | 426     | 1h 16m        | ['action', 'comedy'] | In Istanbul, the creator of a powerful aphrodisiac and several people mysteriously disappear. The police question Kasim, who mentions an alien named Agulu from the planet Nibiru. Agulu is smuggling Earth's aphrodisiac resources to Nibiru. When Hamdi and his crew reveal this secret, they are eliminated by the Anunnaki.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMGEwMDczOWQtOGEwNC00N2RmLTgzOTItMzk3YzQ3MDZmMjlmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt33504617/?ref_=sr_i_76  |
| 77       | Big City Greens the Movie: Spacecation                                 | No Data    | 2024         | 6.2     | 529     | TV-Y7         | ['action', 'comedy'] | After ruining his family's vacation before it can even begin, Cricket attempts to right his wrongs by volunteering his family for an experimental farming mission - in space.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZjhkOGFmYTAtZmQxOS00ZmFjLTkyZDAtMWMzYmUyNjUxNDc1XkEyXkFqcGc@._V1_QL75_UX140_CR0,21,140,207_.jpg  | https://www.imdb.com/title/tt22752312/?ref_=sr_i_77  |
| 78       | Team of Two                                                            | No Data    | 2024         | 5.1     | 106     | No Data       | ['action', 'comedy'] | When facing the most dangerous criminal is easier than facing your new partner                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYjkwMzE3MjktNTAzZi00ODk4LTlmN2UtZWZjMWM2YzMxMjBlXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt11306352/?ref_=sr_i_78  |
| 79       | Turbo                                                                  | No Data    | 2024         | 5.9     | 3.5K    | 2h 35m        | ['action', 'comedy'] | Jose, a jeep driver from Idukki gets in trouble and is forced to relocate to Chennai where he gets entangled with Indhu and his best friend, Jerry. A bunch of surprises in the form of Vetrivel and others await Jose in Chennai.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYmNkYTVhN2QtZmQ0OC00NWViLTgyNzItODU5OWQxMGViNWM1XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg   | https://www.imdb.com/title/tt29608104/?ref_=sr_i_79  |
| 80       | The Mick and the Trick                                                 | No Data    | 2024         | 5.0     | 75      | 1h 36m        | ['action', 'comedy'] | An Irish hit man working for a Cuban crime boss and the IRA tries to leave his life of crime with the help of a savvy hooker.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZDIwMzY4NDItNmUzNy00MGRlLWI1OTctMTkxZDVmYzliNjJkXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt10228618/?ref_=sr_i_80  |
| 81       | Malayalee from India                                                   | No Data    | 2024         | 5.6     | 5K      | 2h 40m        | ['action', 'comedy'] | An unemployed young man named Aalparambil Gopi is compelled to embark on a journey away from his home. This unplanned trip ultimately changes the course of his life in a remarkable way.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMDFjNTVmNmMtOGUzNi00NzJiLThmY2QtMDgwMzgyZTg3YWE3XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt26655359/?ref_=sr_i_81  |
| 82       | The Waiter                                                             | No Data    | 2024         | 8.0     | 20      | No Data       | ['action', 'comedy'] | Akpos, a struggling individual, takes a temporary job as a waiter at Crystal Hotel for an event hosted by the Minister of Poverty Alleviation, where a scheme to assist the underprivileged is being launched.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNzQ4OWZiZDctMDY0NC00NjQ0LTgzMjYtMzQ5MWNkODZhZjVlXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt34983230/?ref_=sr_i_82  |
| 83       | Honeko Akabane's Bodyguards                                            | No Data    | 2024         | 5.9     | 35      | 1h 57m        | ['action', 'comedy'] | Koneko has a 10 billion yen bounty on her head. Ibuki, her childhood friend turned bodyguard, must protect her incognito. Unexpectedly, all his classmates are assigned as her covert bodyguards.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNGExODBmYjYtYzM0OS00ODBkLTkwODAtZjg0OTNkNjdjZTM5XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt31557623/?ref_=sr_i_83  |
| 84       | Saint Young Men: Holy Men vs Demon Army                                | No Data    | 2024         | 3.0     | 13      | 1h 33m        | ['action', 'comedy'] | No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYTYyYjE0MDAtYzQ2Yy00MjIzLWIwZDYtNGM3MTI1YjE4YjhlXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt32446009/?ref_=sr_i_84  |
